query	no	token	pos
경주 여행	92	것	NNB
경주 여행	92	이	VCP
경주 여행	92	ㅂ니다	EF
경주 여행	92	.	SF
경주 여행	92	좋	VA
경주 여행	92	은	ETM
경주 여행	92	여행	NNP
경주 여행	92	다니	VV
경주 여행	92	어	EC
경주 여행	92	...	SE
경주 여행	93	여행	NNG
경주 여행	93	당일치기	NNG
경주 여행	93	여행	NNG
경주 여행	93	당일치기	NNG
경주 여행	93	로	JKB
경주 여행	93	가	VV
경주 여행	93	는데	EC
경주 여행	93	찾아보	VV
경주 여행	93	니까	EC
경주 여행	93	경주역	NNP
경주 여행	93	...	SE
경주 여행	93	당일치기	NNG
경주 여행	93	여행	NNG
경주 여행	93	코스	NNG
경주 여행	93	추천	NNG
경주 여행	93	드리	VV
경주 여행	93	ㅂ니다	EF
경주 여행	93	.	SF
경주 여행	93	안녕하세요	NNP
경주 여행	93	...	SE
경주 여행	93	.	SF
경주 여행	93	^	SW
경주 여행	93	^	SW
경주 여행	93	하루	NNG
경주 여행	93	코스	NNG
경주 여행	93	:	SP
경주 여행	93	남산	NNP
경주 여행	93	정복	NNG
경주 여행	93	하	XSV
경주 여행	93	기	ETN
경주 여행	93	--	SS
경주 여행	93	>	SS
경주 여행	93	여행	NNG
경주 여행	93	코스	NNG
경주 여행	93	중	NNB
경주 여행	93	에서	JKB
경주 여행	93	...	SE
경주 여행	93	반나절	NNG
경주 여행	93	코스	NNG
경주 여행	93	:	SP
경주 여행	93	불국사	NNP
경주 여행	93	와	JC
경주 여행	93	석굴암	NNP
경주 여행	93	관람	NNG
경주 여행	93	하	XSV
경주 여행	93	기	ETN
경주 여행	93	-	SS
경주 여행	93	--	SS
경주 여행	93	>	SS
경주 여행	93	여행	NNP
경주 여행	93	의	JKG
경주 여행	93	...	SE
경주 여행	94	엄마	NNG
경주 여행	94	칠순	NNG
경주 여행	94	기념	NNG
경주 여행	94	으로	JKB
경주 여행	94	여행	NNG
경주 여행	94	가	VV
경주 여행	94	려고	EC
경주 여행	94	하	VV
경주 여행	94	는데	EC
경주 여행	94	현지	NNG
경주 여행	94	분	XSN
경주 여행	94	들	XSN
경주 여행	94	의	JKG
경주 여행	94	...	SE
경주 여행	94	다음	NNG
경주 여행	94	주	NNP
경주 여행	94	저희	NP
경주 여행	94	엄마	NNG
경주 여행	94	칠순	NNG
경주 여행	94	기념	NNG
경주 여행	94	으로	JKB
경주 여행	94	가족	NNG
경주 여행	94	끼리	XSN
경주 여행	94	여행	NNP
경주 여행	94	을	JKO
경주 여행	94	가	VV
경주 여행	94	려고	EC
경주 여행	94	하	VV
경주 여행	94	는데	EC
경주 여행	94	일단	MAG
경주 여행	94	숙소	NNG
경주 여행	94	는	JX
경주 여행	94	더	NNG
경주 여행	94	나인	NNP
경주 여행	94	(	SS
경주 여행	94	경주시	NNP
경주 여행	94	충효	NNG
경주 여행	94	서악	NNP
경주 여행	94	길	NNG
경주 여행	94	87	NNP
경주 여행	94	)	SS
경주 여행	94	으로	JKB
경주 여행	94	...	SE
경주 여행	94	어른	NNG
경주 여행	94	들	XSN
경주 여행	94	입	NNG
경주 여행	94	에	JKB
경주 여행	94	맞	VV
경주 여행	94	는	ETM
경주 여행	94	맛집	NNG
경주 여행	94	도	JX
경주 여행	94	부탁	NNG
경주 여행	94	드리	VV
경주 여행	94	ㅂ니다	EC
경주 여행	94	~	SO
경주 여행	94	여행	NNP
경주 여행	94	가시	VV
경주 여행	94	게	EC
경주 여행	94	되	VV
경주 여행	94	어서	EC
경주 여행	94	많이	MAG
경주 여행	94	설레	VV
경주 여행	94	ㄹ	ETM
경주 여행	94	듯	NNB
경주 여행	94	하	VV
경주 여행	94	아요	EC
경주 여행	94	에	JKB
경주 여행	94	는	JX
경주 여행	94	맛	NNG
경주 여행	94	거리	NNG
경주 여행	94	가	JKS
경주 여행	94	굉장히	MAG
경주 여행	94	많	VA
경주 여행	94	기	ETN
경주 여행	94	...	SE
경주 여행	95	여행	NNP
경주 여행	95	을	JKO
경주 여행	95	가	VV
경주 여행	95	려고	EC
경주 여행	95	하	VX
경주 여행	95	ㅂ니다	EC
경주 여행	95	~	SO
경주 여행	95	제가	NNP
경주 여행	95	여행	NNG
경주 여행	95	을	JKO
경주 여행	95	가	VV
경주 여행	95	려고	EC
경주 여행	95	하	VX
경주 여행	95	아요	EC
경주 여행	95	4	SN
경주 여행	95	월	NNB
경주 여행	95	23	SN
경주 여행	95	일	NNB
경주 여행	95	토요일	NNP
경주 여행	95	에	JKB
경주 여행	95	광주	NNP
경주 여행	95	에서	JKB
경주 여행	95	...	SE
경주 여행	95	수학여행	NNP
경주 여행	95	만가	NNG
경주 여행	95	보	VV
경주 여행	95	았	EP
경주 여행	95	지	EC
경주 여행	95	여행	NNP
경주 여행	95	은	NNP
경주 여행	95	처음이라서	NNP
경주 여행	95	요	JX
경주 여행	95	답변좀부탁드릴게요!!!ㅠㅠ	NA
경주 여행	95	여행	NNP
경주 여행	95	일정	NNG
경주 여행	95	과	JC
경주 여행	95	형편	NNG
경주 여행	95	에	JKB
경주 여행	95	맞	VV
경주 여행	95	게	EC
경주 여행	95	...	SE
경주 여행	95	054	SN
경주 여행	95	-	SW
경주 여행	95	743	SN
경주 여행	95	-	SW
경주 여행	95	6001	SN
경주 여행	95	아래	NNG
경주 여행	95	사이트	NNG
경주 여행	95	에서	JKB
경주 여행	95	여행	NNP
경주 여행	95	후기	NNG
경주 여행	95	몇	MM
경주 여행	95	편	NNB
경주 여행	95	만	JX
경주 여행	95	읽	VV
경주 여행	95	어	EC
경주 여행	95	보	VX
경주 여행	95	면	EC
경주 여행	95	많	VA
경주 여행	95	은	ETM
경주 여행	95	...	SE
경주 여행	96	여행	NNG
경주 여행	96	및	MAJ
경주 여행	96	일출	NNP
경주 여행	96	보기	NNP
경주 여행	96	...	SE
경주 여행	96	일출	NNP
경주 여행	96	보	VV
경주 여행	96	고	EC
경주 여행	96	여행	NNG
경주 여행	96	하	XSV
경주 여행	96	ㄹ	ETM
경주 여행	96	만	NNB
경주 여행	96	하	XSA
경주 여행	96	ㄴ	ETM
경주 여행	96	코스	NNG
경주 여행	96	추천	NNG
경주 여행	96	하	XSV
경주 여행	96	아	EC
경주 여행	96	주	VX
경주 여행	96	시	EP
경주 여행	96	어요	EC
경주 여행	96	~	SO
경주 여행	96	감사	NNG
경주 여행	96	드리	VV
경주 여행	96	ㅂ니다	EF
경주 여행	96	.	SF
경주 여행	96	여행	NNP
경주 여행	96	일정	NNG
경주 여행	96	과	JC
경주 여행	96	형편	NNG
경주 여행	96	에	JKB
경주 여행	96	맞	VV
경주 여행	96	게	EC
경주 여행	96	아래	NNG
경주 여행	96	코스	NNG
경주 여행	96	에서	JKB
경주 여행	96	조절	NNG
경주 여행	96	하	XSV
경주 여행	96	면	EC
경주 여행	96	되	VV
경주 여행	96	ㅂ니다	EF
경주 여행	96	.	SF
경주 여행	96	※	SW
경주 여행	96	시내버스	NNP
경주 여행	96	투어	NNG
경주 여행	96	(	SS
경주 여행	96	도보	NNG
경주 여행	96	,	SP
경주 여행	96	자전거	NNP
경주 여행	96	)	SS
경주 여행	96	불국사	NNP
경주 여행	96	권	NNP
경주 여행	96	(	SS
경주 여행	96	시내버스	NNP
경주 여행	96	10	SN
경주 여행	96	번	NNB
경주 여행	96	11	SN
경주 여행	96	번	NNB
경주 여행	96	이용	NNP
경주 여행	96	)	SS
경주 여행	96	터미널	NNP
경주 여행	96	,	SP
경주 여행	96	경주역	NNP
경주 여행	96	도착	NNG
경주 여행	96	...	SE
경주 여행	97	친구	NNG
경주 여행	97	랑	JKB
경주 여행	97	여행	NNP
경주 여행	97	코스	NNG
경주 여행	97	시험	NNG
경주 여행	97	다치	VV
경주 여행	97	고	EC
경주 여행	97	친구	NNG
경주 여행	97	랑	JKB
경주 여행	97	여행	NNP
경주 여행	97	갈리	VV
경주 여행	97	어	EC
경주 여행	97	하	VX
경주 여행	97	는데	EC
경주 여행	97	포항	NNP
경주 여행	97	에서	JKB
경주 여행	97	까지	JX
경주 여행	97	가	VV
경주 여행	97	아서	EC
경주 여행	97	에서	JKB
경주 여행	97	가	VV
경주 여행	97	ㄹ	ETM
경주 여행	97	만	NNP
경주 여행	97	한곳	NNG
경주 여행	97	코스	NNG
경주 여행	97	좀	MAG
경주 여행	97	알리	VV
경주 여행	97	어	EC
경주 여행	97	주	VX
경주 여행	97	시	EP
경주 여행	97	어요	EC
경주 여행	97	에서	JKB
경주 여행	97	가	VV
경주 여행	97	아	EC
경주 여행	97	보	VX
경주 여행	97	ㄹ	ETM
경주 여행	97	만	NNB
경주 여행	97	하	XSA
경주 여행	97	ㄴ	ETM
경주 여행	97	곳	NNG
경주 여행	97	들	XSN
경주 여행	97	추천	NNG
경주 여행	97	하	XSV
경주 여행	97	아	EC
경주 여행	97	드리	VX
경주 여행	97	겠	EP
경주 여행	97	습니다	EF
경주 여행	97	.	SF
경주 여행	97	동궁	NNP
경주 여행	97	과	JC
경주 여행	97	월지	NNP
경주 여행	97	,	SP
경주 여행	97	첨성대	NNP
경주 여행	97	,	SP
경주 여행	97	대릉	NNP
경주 여행	97	원	NNB
경주 여행	97	,	SP
경주 여행	97	월	NNB
경주 여행	97	정교	NNP
경주 여행	97	...	SE
경주 여행	98	여행	NNP
경주 여행	98	도와주	VV
경주 여행	98	시	EP
경주 여행	98	어요	EC
경주 여행	98	~	SO
경주 여행	98	가족	NNG
경주 여행	98	과	JC
경주 여행	98	함께	MAG
경주 여행	98	하	XSV
경주 여행	98	는	ETM
경주 여행	98	여행	NNP
경주 여행	98	2	SN
경주 여행	98	번	NNB
경주 여행	98	째	XSN
경주 여행	98	이	VCP
경주 여행	98	ㅂ니다	EF
경주 여행	98	.	SF
경주 여행	98	지난번	NNG
경주 여행	98	가	VV
경주 여행	98	아	EC
경주 여행	98	보	VX
경주 여행	98	지	EC
경주 여행	98	못하	VX
경주 여행	98	ㄴ	ETM
경주 여행	98	곳	NNG
경주 여행	98	이	VCP
경주 여행	98	ㄴ데요	EC
경주 여행	98	이동	NNG
경주 여행	98	을	JKO
경주 여행	98	어떻	VA
경주 여행	98	게	EC
경주 여행	98	하	VV
경주 여행	98	아야	EC
경주 여행	98	하	VX
경주 여행	98	ㄹ지	EC
경주 여행	98	도와주	VV
경주 여행	98	시	EP
경주 여행	98	어요	EC
경주 여행	98	...	SE
경주 여행	98	양동마을	NNP
경주 여행	98	이	VCP
경주 여행	98	ㅂ니다	EC
경주 여행	98	여행	NNP
경주 여행	98	에	JKB
경주 여행	98	대하	VV
경주 여행	98	ㄴ	ETM
경주 여행	98	팁	NNG
경주 여행	98	을	JKO
경주 여행	98	드리	VX
경주 여행	98	ㄹ게요	EF
경주 여행	98	.	SF
경주 여행	98	^	SW
경주 여행	98	^	SW
경주 여행	98	안녕하세요	NNP
경주 여행	98	.	SF
경주 여행	98	여행	NNG
경주 여행	98	전문	NNG
경주 여행	98	블로그	NNP
경주 여행	98	쭈니아빠입니다.	NA
경주 여행	98	이번	NNG
경주 여행	98	에	JKB
경주 여행	98	가시	VV
경주 여행	98	면	EC
경주 여행	98	...	SE
경주 여행	99	여행	NNG
경주 여행	99	으로	JKB
경주 여행	99	어떻	VA
경주 여행	99	어요	EF
경주 여행	99	?	SF
경주 여행	99	여행	NNG
경주 여행	99	으로	JKB
경주 여행	99	가	VV
경주 여행	99	는	ETM
경주 여행	99	거	NNB
경주 여행	99	어떻	VA
경주 여행	99	ㄴ가요	EF
경주 여행	99	?	SF
경주 여행	99	좋	VA
경주 여행	99	죠	EF
경주 여행	99	.	SF
경주 여행	99	지금	NNG
경주 여행	99	쯤	NNB
경주 여행	99	단풍	NNP
경주 여행	99	도	JX
경주 여행	99	들	VV
경주 여행	99	ㄹ	ETM
경주 여행	99	때	NNG
경주 여행	99	이	VCP
경주 여행	99	고	EC
경주 여행	99	,	SP
경주 여행	99	춥	VA
경주 여행	99	지	EC
경주 여행	99	도	JX
경주 여행	99	덥	VA
경주 여행	99	지	EC
경주 여행	99	도	JX
경주 여행	99	않	VX
경주 여행	99	아	EC
경주 여행	99	움직이	VV
경주 여행	99	기	ETN
경주 여행	99	도	JX
경주 여행	99	좋은 날	NNP
경주 여행	99	이	VCP
경주 여행	99	죠	EC
경주 여행	99	~	SO
경주 여행	100	여행	NNP
경주 여행	100	코스	NNG
경주 여행	100	짜	VV
경주 여행	100	기	ETN
경주 여행	100	1	SN
경주 여행	100	박	NNP
경주 여행	100	2	SN
경주 여행	100	일	NNB
경주 여행	100	로	JKB
경주 여행	100	아이와	NNP
경주 여행	100	여행	NNG
경주 여행	100	가	VV
경주 여행	100	려고	EC
경주 여행	100	하	VX
경주 여행	100	아요	EC
경주 여행	100	추억	NNP
경주 여행	100	의	JKG
경주 여행	100	달동네	NNG
경주 여행	100	부터	JX
경주 여행	100	시작	NNG
경주 여행	100	점	NNB
경주 여행	100	으로	JKB
경주 여행	100	하	VV
경주 여행	100	려고	EC
경주 여행	100	하	VX
경주 여행	100	는데	EC
경주 여행	100	달동네	NNP
경주 여행	100	주변	NNG
경주 여행	100	가	VV
경주 여행	100	ㄹ	ETM
경주 여행	100	만	NNP
경주 여행	100	한곳	NNG
경주 여행	100	어디	NP
경주 여행	100	있	VV
경주 여행	100	을까요	EC
경주 여행	100	추억	NNP
경주 여행	100	의	JKG
경주 여행	100	달동네	NNG
경주 여행	100	-	SS
경주 여행	100	>	SS
경주 여행	100	추억	NNP
경주 여행	100	의	JKG
경주 여행	100	달동네	NNP
경주 여행	100	교촌	NNP
경주 여행	100	마을	NNP
경주 여행	100	황	NNP
경주 여행	100	리단	NNP
경주 여행	100	길	NNG
경주 여행	100	주렁주렁	MAG
경주 여행	100	동물	NNG
경주 여행	100	파크	NNP
경주 여행	100	야경	NNP
경주 여행	100	첨성대	NNP
경주 여행	100	동궁	NNP
경주 여행	100	과	JC
경주 여행	100	월지	NNP
경주 여행	100	월	NNB
경주 여행	100	정교	NNP
경주 여행	100	이런	MM
경주 여행	100	곳	NNG
경주 여행	100	은	JX
경주 여행	100	...	SE
경주 여행	101	뚜벅이	NA
경주 여행	101	여행	NNP
경주 여행	101	다음	NNG
경주 여행	101	주	NNP
경주 여행	101	평일	NNP
경주 여행	101	에	JKB
경주 여행	101	화	NNG
경주 여행	101	수	NNB
경주 여행	101	중	NNB
경주 여행	101	여행	NNP
경주 여행	101	가	VV
경주 여행	101	려고	EC
경주 여행	101	하	VV
경주 여행	101	았	EP
경주 여행	101	는데	EC
경주 여행	101	시기	NNG
경주 여행	101	상	XSN
경주 여행	101	뷰가	NA
경주 여행	101	별로	MAG
경주 여행	101	일	NNB
경주 여행	101	거	NNB
경주 여행	101	같	VA
경주 여행	101	아서	EC
경주 여행	101	고민	NNG
경주 여행	101	이	VCP
경주 여행	101	ㅂ니다	EC
경주 여행	101	..	SE
경주 여행	101	!	SF
경주 여행	101	혼자	NNG
경주 여행	101	뚜벅이...	NA
경주 여행	101	꽃피	VV
경주 여행	101	고	EC
경주 여행	101	봄바람	NNP
경주 여행	101	살랑	MAG
경주 여행	101	살랑	MAG
경주 여행	101	불	VV
경주 여행	101	는	ETM
경주 여행	101	4월	NNP
경주 여행	101	달	NNG
경주 여행	101	여행	NNP
경주 여행	101	오푸스	NNP
경주 여행	101	에서	JKB
경주 여행	101	즐기	VV
경주 여행	101	어	EC
경주 여행	101	보	VX
경주 여행	101	시	EP
경주 여행	101	어요	EC
경주 여행	101	.	SF
경주 여행	101	.	SF
경주 여행	101	.	SF
경주 여행	101	-	SS
경주 여행	101	전	NNP
경주 여행	101	객실	NNG
경주 여행	101	개별	NNG
경주 여행	101	바	NNB
경주 여행	101	베	NNG
경주 여행	101	큐	NNG
경주 여행	101	장	NNP
경주 여행	101	으로	JKB
경주 여행	101	...	SE
경주 여행	102	여행	NNP
경주 여행	102	숙소	NNG
경주 여행	102	제가	NNP
경주 여행	102	3	SN
경주 여행	102	명에	NNP
경주 여행	102	서	NNP
경주 여행	102	여행	NNP
경주 여행	102	을	JKO
경주 여행	102	가	VV
경주 여행	102	는데	EC
경주 여행	102	저렴	XR
경주 여행	102	하	XSA
경주 여행	102	ㄴ	ETM
경주 여행	102	숙소	NNG
경주 여행	102	추천	NNG
경주 여행	102	하	XSV
경주 여행	102	ㄹ	ETM
경주 여행	102	수도	NNP
경주 여행	102	있	VV
경주 여행	102	을까요	EF
경주 여행	102	?	SF
경주 여행	102	저렴	XR
경주 여행	102	하	XSA
경주 여행	102	ㄴ	ETM
경주 여행	102	숙소	NNG
경주 여행	102	는	JX
경주 여행	102	경주시	NNP
경주 여행	102	내	NNB
경주 여행	102	(	SS
경주 여행	102	아랫	MM
경주 여행	102	시장	NNP
경주 여행	102	부터	JX
경주 여행	102	.	SF
경주 여행	102	~	SO
경주 여행	102	(	SS
경주 여행	102	구	NNP
경주 여행	102	)	SS
경주 여행	102	경주역	NNP
경주 여행	102	~	SO
경주 여행	102	황성공원	NNP
경주 여행	102	까지	JX
경주 여행	102	..	SE
경주 여행	102	)	SS
경주 여행	102	의	JKG
경주 여행	102	모텔	NNP
경주 여행	102	이	JKS
경주 여행	102	많	VA
경주 여행	102	습니다	EF
경주 여행	102	.	SF
경주 여행	102	그곳	NP
경주 여행	102	을	JKO
경주 여행	102	이용	NNG
경주 여행	102	하	XSV
경주 여행	102	시	EP
경주 여행	102	면	EC
경주 여행	102	되	VV
경주 여행	102	ㅂ니다	EF
경주 여행	102	.	SF
경주 여행	102	,	SP
경주 여행	102	그	MM
경주 여행	102	다음	NNG
경주 여행	102	으로	JKB
경주 여행	102	는	JX
경주 여행	102	에서	JKB
경주 여행	102	울산	NNP
경주 여행	102	가	NNG
경주 여행	102	는	JX
경주 여행	102	7	SN
경주 여행	102	번	NNB
경주 여행	102	국도변	NNG
경주 여행	102	(	SS
경주 여행	102	구	NNP
경주 여행	102	)	SS
경주 여행	102	...	SE
경주 여행	103	엄마	NNG
경주 여행	103	와	JC
경주 여행	103	여행	NNP
경주 여행	103	엄마	NNG
경주 여행	103	와	JC
경주 여행	103	여행	NNP
경주 여행	103	평일	NNP
경주 여행	103	에	JKB
경주 여행	103	대중교통	NNG
경주 여행	103	타	VV
경주 여행	103	고	EC
경주 여행	103	가	VV
경주 여행	103	려고	EC
